;;15032;15029;15028;15027;15026;15025;15024;15023;15022;15021;15020;15019;15018;15017;15016;15015;15014;15013;15012;15011;15010;15009;15007;15006;15005;15004;15003;15002;15001
;;Aug 8;Aug 7;Aug 6;Aug 5;Aug 5;Aug 4;Aug 4;Aug 3;Aug 3;Aug 3;Aug 2;Aug 2;Aug 1;Aug 1;Jul 31;Jul 31;Jul 30;Jul 30;Jul 29;Jul 29;Jul 28;Jul 28;Jul 27;Jul 27;Jul 27;Jul 26;Jul 26;Jul 25;Jul 25
hatch-arc-r (kohaku);;;;;;1;;;;;1;;;;1;;;;1;;;;;1;;;;1;;
hatch-borealis (helios);;;;;;;;;;;1;;;;1;;1;;;;;;;;;1;;;;
hatch-kernelnext (kohaku);;;;;;1;;;;;;;1;;1;;;;;;;;;;;;;;;
hatch-kernelnext (nightfury);;;;;;1;;;;;1;;1;;;;;;1;;;;;;;1;;1;;
jacuzzi-kernelnext (burnet);;;;;;1;;;;;1;;;;;;;;;;;;;1;;1;;1;;
jacuzzi-kernelnext (cerise);;;;;;1;;;;;1;;;;1;;;;;;;;;1;;1;;;;
jacuzzi-kernelnext (cozmo);;;;;;;;;;;1;;;;1;;;;;;;1;;1;;;;1;;
jacuzzi-kernelnext (damu);;;;;;1;;;;;1;;;;;;1;;1;;;;;;;;;;;
jacuzzi-kernelnext (esche);;;;;;1;;;;;1;;;;1;;;;1;;;1;;;;1;;;;
jacuzzi-kernelnext (fennel);;;;;;1;;;;;1;;;;1;;1;;1;;;;;;;1;;;;
jacuzzi-kernelnext (fennel14);;;;;;1;;;;;;;;;;;;;1;;;;;;;;;1;;
jacuzzi-kernelnext (juniper);;;;;;1;;;;;1;;;;;;1;;1;;;1;;;;1;;;;
jacuzzi-kernelnext (kappa);;;;;;1;;;;;1;;;;1;;;;1;;;;;1;;1;;;;
jacuzzi-kernelnext (kenzo);;;;;;1;;;;;1;;;;1;;;;;;;;;1;;1;;;;
jacuzzi-kernelnext (stern);;;;;;;;;;;1;;;;;;1;;;;;1;;1;;;;1;;
jacuzzi-kernelnext (willow);;;;;;1;;;;;1;;;;1;;;;;;;;;1;;1;;;;
kalista (karma);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kalista-kernelnext (karma);;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;1;;
keeby (gooey);;;;;;1;1;;;;1;;;1;;;;;;;;;;;;;1;;;
