; 15032 ; 15029 ; 15028 ; 15027 ; 15026 ; 15025 ; 15024 ; 15023 ; 15022 ; 15021 ; 15020 ; 15019 ; 15018 ; 15017 ; 15016 ; 15015 ; 15014 ; 15013 ; 15012 ; 15011 ; 15010 ; 15009 ; 15007 ; 15006 ; 15005 ; 15004 ; 15003 ; 15002 
octopus-kernelnext (blooguard);;;x;;x;;;;;;;1;;;;;;;;;;;;;;;;
octopus-kernelnext (blorb);;;x;;x;;;;;x;;x;;x;;;;x;;;;;;;x;;x;
octopus-kernelnext (bluebird);;;x;;x;;;;;x;;x;;x;;;;x;;;x;;;;;;;
octopus-kernelnext (bobba);;;x;;x;;;;;x;;x;;;;;;;;;;;;;;;;
octopus-kernelnext (bobba360);;;x;;x;;;;;x;;x;;1;;;;;;;x;;x;;;;x;
octopus-kernelnext (casta);;;x;;x;;;;;x;;x;;;;x;;;;;;;x;;;;;
octopus-kernelnext (dood);;;;;;;;;;x;;x;;;;x;;;;;x;;x;;;;;
octopus-kernelnext (dorp);;;1;;1;;;;;1;;;;;;;;;;;1;;;;1;;1;
octopus-kernelnext (droid);;;x;;x;;;;;x;;x;;;;;;x;;;x;;x;;x;;x;
octopus-kernelnext (fleex);;;x;;x;;;;;x;;x;;;;;;;;;;;;;x;;;
octopus-kernelnext (foob);;;x;;x;;;;;x;;x;;x;;;;;;;;;;;x;;x;
octopus-kernelnext (foob360);;;x;;;;;;;x;;;;x;;;;;;;x;;;;;;x;
octopus-kernelnext (garfour);;;1;;x;;;;;1;;1;;;;1;;1;;;;;x;;;;;
octopus-kernelnext (garg);;;x;;x;;;;;x;;;;x;;;;;;;;;x;;x;;;
octopus-kernelnext (garg360);;;x;;x;;;;;x;;1;;x;;;;;;;;;;;;;x;
octopus-kernelnext (grabbiter);;;x;;x;;;;;x;;;;x;;;;x;;;;;x;;x;;x;
octopus-kernelnext (laser14);;;x;;x;;;;;x;;x;;x;;x;;;;;x;;x;;x;;;
octopus-kernelnext (lick);;;x;;x;;;;;x;;;;x;;;;x;;;;;x;;;;;
octopus-kernelnext (meep);;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;
octopus-kernelnext (mimrock);;;x;;;;;;;x;;;;;;x;;x;;;x;;x;;x;;;
octopus-kernelnext (nospike);;;;;1;;;;;;;x;;x;;x;;;;;;;x;;x;;;
octopus-kernelnext (orbatrix);;;x;;x;;;;;x;;;;x;;;;;;;;;x;;;;x;
octopus-kernelnext (phaser);;;x;;x;;;;;x;;;;x;;;;;;;x;;;;x;;x;
octopus-kernelnext (phaser360);;;;;x;;;;;x;;;;x;;;;x;;;;;;;;;;
octopus-kernelnext (sparky);;;x;;x;;;;;x;;x;;x;;x;;x;;;x;;;;x;;;
octopus-kernelnext (sparky360);;;;;x;;;;;x;;;;x;;;;;;;;;;;x;;x;
octopus-kernelnext (vorticon);;;x;;;;;;;x;;x;;x;;x;;x;;;;;x;;;;;
octopus-kernelnext (vortininja);;;x;;x;;;;;x;;x;;;;x;;x;;;x;;x;;;;x;
puff (dooly);;;;x;;;;;;;x;;x;;;;;;;x;;;;;;;;
puff (duffy);;1;;x;;;;;;;x;;;;;;;;;x;;;;;;;;
puff (faffy);;1;;x;;;;;;;;;x;;;;;;;;;;;;;x;;
puff (kaisa);;;;x;;;;;;;x;;;;x;;;;;x;;x;;;;x;;
puff (noibat);;1;;x;;;;;;;x;;x;;;;x;;;;;x;;;;x;;
puff;;;;;;;;;;;x;;x;;;;;;;x;;x;;;;;;
puff (wyvern);;;;;;;;;;;x;;;;;;;;;;;;;x;;;;
rammus (shyvana);;1;;1;;1;;;;;1;;;;;;1;;1;;;;;;;1;;
rammus-arc-r (shyvana);;;;;x;;;;;x;;;;x;;;;;;;1;;;;;;;
sarien (arcada);;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;
sarien;;;;x;;x;;;;;x;;;;;;x;;;;;;;;;;;
scarlet (dru);;;;;x;;;;x;x;;;;x;;;;;;;;;;;;;;
scarlet (dumo);;;;;x;;x;;x;x;;x;;x;;;;;;;;;;;;;;
scarlet-kernelnext (dru);;;x;;x;;;;x;x;;x;;;;x;;;;;x;;;;x;;x;
scarlet-kernelnext (druwl);;;x;;x;;;;;x;;x;;;;x;;;;;x;;x;;x;;x;
scarlet-kernelnext (dumo);;;x;;x;;;;x;;;x;;x;;;;x;;;;;;;;;x;
snappy-kernelnext (snappy);;;x;;;;x;;x;x;;;;;;;;1;;;;;x;;;;;
soraka;;;;;;x;;;;;;;;;;;1;;;;;;;1;;;;
strongbad (coachz);;x;x;;x;;;;;x;;x;;x;;x;;;;;x;x;x;;x;;;
strongbad (mrbland);;;;;;;;;;1;;1;;;;;;;;;;;;;;;;
strongbad (quackingstick);;;;;;;;;;;;;;;;;;;;;;;1;;;;;
strongbad (wormdingler);;;;;;;;;;1;;1;x;;;1;;;;;;;;;;;;
strongbad-kernelnext (coachz);;;x;;x;;;;;x;;;;;;x;;x;;;x;;;;x;;x;
trogdor (lazor);;;1;1;1;;;;;1;1;;1;;;1;;;;;;;1;;1;;1;
trogdor (limozeen);;;;;;;;;;1;;1;;;;1;;;;;;;1;;1;;;
trogdor (pazquel);;;1;;1;;;;;;;;;;;1;;;;;;;;;;;1;
trogdor (pompom);;;1;;1;;;;;1;;;;;;1;;;;;;;1;;1;;;
trogdor-arc-r (pompom);;;x;;x;;;;;x;;;;x;;;;;;;x;;x;;x;;;
trogdor-kernelnext (lazor);;;1;;1;;;;;1;;;;1;;;;1;;;;;1;;1;;;
trogdor-kernelnext (limozeen);;;1;;1;;;;;1;;;;1;;1;;1;;;;;;;;;;
trogdor-kernelnext (pompom);;;1;;1;;;;;1;;;;1;;;;;;;1;;1;;1;;;
trogdor64 (lazor);;;1;;1;;;;;1;;;;;;;;;;;1;;1;;1;;1;
volteer (chronicler);;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (collis);;;;;;;;;;;;;;;1;;;;;;;;;;;1;;
volteer (copano);;1;;;;;;;;;;;x;;;;;;;1;;x;;;;;;
