;;15032;15029;15028;15027;15026;15025;15024;15023;15022;15021;15020;15019;15018;15017;15016;15015;15014;15013;15012;15011;15010;15009;15007;15006;15005;15004;15003;15002;15001
octopus (garfour);;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
octopus (garg);;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
octopus (garg360);;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
octopus (grabbiter);;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
octopus (laser14);;;;;;;;;;;1;;1;;;;1;;;;;;;;;;;;;
octopus (lick);;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;
octopus (meep);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (mimrock);;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;
octopus (nospike);;;;;;;;;;;1;1;;;;;;;;;;1;;1;;1;;;;
octopus (orbatrix);;;;1;;1;;;;;;;1;;;;;;1;;;;;;;;;;;
octopus (phaser);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (phaser360);;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
octopus (sparky);;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
octopus (sparky360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (vorticon);;;;;;1;;;;;;;1;;1;;;;;;;;;;;;;;;
octopus (vortininja);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-arc-r (blorb);;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
octopus-arc-r (bluebird);;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
octopus-kernelnext (ampton);;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;
octopus-kernelnext (apel);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (bloog);;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;
octopus-kernelnext (blooglet);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (blooguard);;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;
octopus-kernelnext (blorb);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (bluebird);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (bobba);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (bobba360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (casta);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (dood);;;;1;;;;;;;1;;;;;;;;;;;;;;;;;1;;
octopus-kernelnext (dorp);;;;;;;;;;;1;;;;;;1;;;;;;;1;;;;;;
octopus-kernelnext (droid);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (fleex);;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;
octopus-kernelnext (foob);;;;1;;;;;;;;;1;;;;;;;;;;;;;1;;;;
octopus-kernelnext (foob360);;;;;;1;;;;;1;;1;;;;;;1;;;;;;;;;;;
octopus-kernelnext (garfour);;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
octopus-kernelnext (garg);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (garg360);;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (grabbiter);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (laser14);;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;
octopus-kernelnext (lick);;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (meep);;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;
octopus-kernelnext (mimrock);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (nospike);;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;
octopus-kernelnext (orbatrix);;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (phaser);;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
octopus-kernelnext (phaser360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (sparky);;;;;;;;;;;;;;;1;;;;;;;;;1;;1;;;;
octopus-kernelnext (sparky360);;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
octopus-kernelnext (vorticon);;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
octopus-kernelnext (vortininja);;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
puff (dooly);;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;
puff (duffy);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff (faffy);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff (kaisa);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff (noibat);;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff (wyvern);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pyro;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
rammus (shyvana);;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
rammus-arc-r (shyvana);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sarien (arcada);;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
sarien;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;
scarlet (dru);;;;;;1;;1;;1;;;;;1;;;;;;;;;;;;;;;
scarlet (dumo);;;;1;;;;;;;;;1;;1;;;;;;;;;;;;;;;
scarlet-kernelnext (dru);;;;;;1;;;;1;1;;1;;1;;;;;;;1;;1;;;;;;
scarlet-kernelnext (druwl);;;;1;;;;1;;1;1;;;;1;;1;;1;;;;;1;;1;;1;;
scarlet-kernelnext (dumo);;;;1;;1;;1;;1;1;;1;;1;;;;;;;1;;1;;1;;1;;
snappy-kernelnext (snappy);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
soraka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strongbad (coachz);;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
strongbad (homestar);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strongbad (mrbland);;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
strongbad (quackingstick);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
strongbad (wormdingler);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
strongbad-kernelnext (coachz);;;;1;;;;;;;;;;;1;;;;;;;;;;;1;;;;
strongbad-kernelnext (homestar);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor (lazor);;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
trogdor (limozeen);;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;
trogdor (pazquel);;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
trogdor (pompom);;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
trogdor-arc-r (pompom);;;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;
trogdor-kernelnext (lazor);;;;1;;1;;;;;;;;;1;;;;;;;;;;;;;;;
trogdor-kernelnext (limozeen);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor-kernelnext (pompom);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
trogdor64 (lazor);;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;
volteer (chronicler);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (collis);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (copano);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (delbin);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (drobit);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (eldrid);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (elemi);;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (lillipup);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (lindar);;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
volteer (voema);;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;
volteer (volet);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (volta);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (voxel);;;;;;;1;;;;;1;;;;;;;;;1;;1;;;;;;;
volteer-kernelnext (volteer2);;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
zork (berknip);;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;
zork (dirinboz);;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
zork (ezkinil);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
zork (gumboz);;;;1;;1;;;;;;;;;;;;;;;;;;;;1;;;;
zork (jelboz);;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
zork (jelboz360);;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;
zork (morphius);;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
zork (vilboz);;;1;1;;1;;;;;;;;;;;;;;;;;;;;1;;;;
zork (vilboz14);;;1;1;1;1;;;;;1;;;;;;;;;;;;;;1;;;;;
zork (vilboz360);;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
zork (woomax);;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
zork-arc-r (berknip);;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
zork-arc-r (vilboz);;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;
zork-kernelnext (ezkinil);;;;;;1;;;;;1;;;;;;1;;1;;;;;;;;;;;
