failed;=COUNTIF(B9:B302, "x");=COUNTIF(C9:C302, "x");=COUNTIF(D9:D302, "x");=COUNTIF(E9:E302, "x");=COUNTIF(F9:F302, "x");=COUNTIF(G9:G302, "x");=COUNTIF(H9:H302, "x");=COUNTIF(I9:I302, "x");=COUNTIF(J9:J302, "x");=COUNTIF(K9:K302, "x");=COUNTIF(L9:L302, "x");=COUNTIF(M9:M302, "x");=COUNTIF(N9:N302, "x");=COUNTIF(O9:O302, "x");=COUNTIF(P9:P302, "x");=COUNTIF(Q9:Q302, "x");=COUNTIF(R9:R302, "x");=COUNTIF(S9:S302, "x");=COUNTIF(T9:T302, "x");=COUNTIF(U9:U302, "x");=COUNTIF(V9:V302, "x");=COUNTIF(W9:W302, "x");=COUNTIF(X9:X302, "x");=COUNTIF(Y9:Y302, "x");=COUNTIF(Z9:Z302, "x");=COUNTIF(AA9:AA302, "x");=COUNTIF(AB9:AB302, "x");=COUNTIF(AC9:AC302, "x");=COUNTIF(AD9:AD302, "x");
pass;=SUM(B9:B302);=SUM(C9:C302);=SUM(D9:D302);=SUM(E9:E302);=SUM(F9:F302);=SUM(G9:G302);=SUM(H9:H302);=SUM(I9:I302);=SUM(J9:J302);=SUM(K9:K302);=SUM(L9:L302);=SUM(M9:M302);=SUM(N9:N302);=SUM(O9:O302);=SUM(P9:P302);=SUM(Q9:Q302);=SUM(R9:R302);=SUM(S9:S302);=SUM(T9:T302);=SUM(U9:U302);=SUM(V9:V302);=SUM(W9:W302);=SUM(X9:X302);=SUM(Y9:Y302);=SUM(Z9:Z302);=SUM(AA9:AA302);=SUM(AB9:AB302);=SUM(AC9:AC302);=SUM(AD9:AD302);
total run;=COUNTA(B9:B302);=COUNTA(C9:C302);=COUNTA(D9:D302);=COUNTA(E9:E302);=COUNTA(F9:F302);=COUNTA(G9:G302);=COUNTA(H9:H302);=COUNTA(I9:I302);=COUNTA(J9:J302);=COUNTA(K9:K302);=COUNTA(L9:L302);=COUNTA(M9:M302);=COUNTA(N9:N302);=COUNTA(O9:O302);=COUNTA(P9:P302);=COUNTA(Q9:Q302);=COUNTA(R9:R302);=COUNTA(S9:S302);=COUNTA(T9:T302);=COUNTA(U9:U302);=COUNTA(V9:V302);=COUNTA(W9:W302);=COUNTA(X9:X302);=COUNTA(Y9:Y302);=COUNTA(Z9:Z302);=COUNTA(AA9:AA302);=COUNTA(AB9:AB302);=COUNTA(AC9:AC302);=COUNTA(AD9:AD302);
pass rate;=IF(B5=0, "N/A",B5/B6);=IF(C5=0, "N/A",C5/C6);=IF(D5=0, "N/A",D5/D6);=IF(E5=0, "N/A",E5/E6);=IF(F5=0, "N/A",F5/F6);=IF(G5=0, "N/A",G5/G6);=IF(H5=0, "N/A",H5/H6);=IF(I5=0, "N/A",I5/I6);=IF(J5=0, "N/A",J5/J6);=IF(K5=0, "N/A",K5/K6);=IF(L5=0, "N/A",L5/L6);=IF(M5=0, "N/A",M5/M6);=IF(N5=0, "N/A",N5/N6);=IF(O5=0, "N/A",O5/O6);=IF(P5=0, "N/A",P5/P6);=IF(Q5=0, "N/A",Q5/Q6);=IF(R5=0, "N/A",R5/R6);=IF(S5=0, "N/A",S5/S6);=IF(T5=0, "N/A",T5/T6);=IF(U5=0, "N/A",U5/U6);=IF(V5=0, "N/A",V5/V6);=IF(W5=0, "N/A",W5/W6);=IF(X5=0, "N/A",X5/X6);=IF(Y5=0, "N/A",Y5/Y6);=IF(Z5=0, "N/A",Z5/Z6);=IF(AA5=0, "N/A",AA5/AA6);=IF(AB5=0, "N/A",AB5/AB6);=IF(AC5=0, "N/A",AC5/AC6);=IF(AD5=0, "N/A",AD5/AD6);
;;
octopus-kernelnext (foob360);;;;1;;1;;;;;1;;;;1;;;;1;;;;;;;;;1;;
octopus-kernelnext (garfour);;;;;;1;;;;;1;;1;;;;1;;1;;;1;;1;;1;;1;;
octopus-kernelnext (garg);;;;1;;;;;;;1;;;;;;;;;;;;;1;;1;;;;
octopus-kernelnext (garg360);;;;1;;1;;;;;;;1;;1;;;;1;;;;;;;1;;;;
octopus-kernelnext (grabbiter);;;;1;;1;;;;;1;;1;;1;;;;1;;;;;;;1;;;;
octopus-kernelnext (laser14);;;;1;;1;;;;;1;;1;;1;;;;;;;;;1;;1;;;;
octopus-kernelnext (lick);;;;1;;;;;;;1;;;;1;;;;1;;;;;1;;;;1;;
octopus-kernelnext (meep);;;;;;;;;;;;;;;;;;;1;;;1;;;;1;;;;
octopus-kernelnext (mimrock);;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;
octopus-kernelnext (nospike);;;;1;;1;;;;;1;;1;;1;;;;1;;;;;1;;;;1;;
octopus-kernelnext (orbatrix);;;;1;;1;;;;;1;;1;;1;;1;;1;;;1;;1;;1;;1;;
octopus-kernelnext (phaser);;;;1;;1;;;;;1;;1;;;;1;;;;;1;;;;1;;1;;
octopus-kernelnext (phaser360);;;;;;;;;;;1;;1;;1;;1;;;;;;;;;1;;1;;
octopus-kernelnext (sparky);;;;1;;1;;;;;1;;;;1;;;;1;;;;;;;1;;;;
octopus-kernelnext (sparky360);;;;1;;1;;;;;1;;;;;;;;;;;1;;1;;1;;;;
octopus-kernelnext (vorticon);;;;1;;1;;;;;1;;1;;;;;;1;;;;;1;;1;;;;
octopus-kernelnext (vortininja);;;;1;;1;;;;;1;;;;;;;;;;;;;;;1;;;;
puff (dooly);;;;;;;;;;;;1;;1;;;;;;;1;;;;;;1;;;
puff (duffy);;;;;1;;;;;;;1;;;;1;;;;;1;;1;;1;;;;1;
puff (faffy);;;;;;;;;;;;;;;;1;;;;1;;;1;;;;1;;;
puff (kaisa);;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;
puff (noibat);;;;;1;;;;;;;1;;;;1;;;;1;;;;;;;;;;
puff;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
puff (wyvern);;;1;;1;;1;;;;;1;;1;;;;;;;;;;;;;;;;
rammus (shyvana);;;1;;;;;;;;;1;;;;;;1;;1;;;;;;;;;;
rammus-arc-r (shyvana);;;;;;1;;;;;1;;;;;;1;;;;;;;;;;;;;
sarien;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;
scarlet (dru);;;;1;;1;;1;;;1;;;;;;;;;;;;;;;;;;;
scarlet (dumo);;;;1;;1;;;;1;1;;;;1;;;;;;;;;;;;;;;
scarlet-kernelnext (dru);;;;1;;1;;1;;1;1;;1;;1;;1;;1;;;1;;;;1;;;;
scarlet-kernelnext (druwl);;;;1;;1;;1;;1;1;;1;;1;;1;;1;;;;;;;1;;1;;
scarlet-kernelnext (dumo);;;;1;;1;;1;;1;1;;;;;;1;;1;;;1;;;;1;;1;;
snappy-kernelnext (snappy);;;;1;;;;1;;1;1;;;;;;1;;;;;1;;;;1;;1;;
soraka;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
strongbad (coachz);;;;;;1;;;;;1;;1;;1;;1;;;;;1;;1;;1;;;;
strongbad (homestar);;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
strongbad (mrbland);;;;1;;;;;;;;;1;;1;;;;;;;;;;;;;;;
strongbad (quackingstick);;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;
strongbad (wormdingler);;;;1;;;;;;;1;;;;;;;;;;1;1;;;1;;;;;
strongbad-kernelnext (coachz);;;;1;;;;;;;1;;;;;;1;;1;;;1;;1;;1;;;;
strongbad-kernelnext (homestar);;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;
trogdor (lazor);;;;1;;;;;;;1;;;1;;;1;;1;;;;1;;;1;;;;
trogdor (limozeen);;;;;;1;;;;;1;;;;;;;;;;;;;;1;;;;;
trogdor (pazquel);;;;;;;;;;;1;;;;;;;;1;;;;;1;;;;1;;
trogdor (pompom);;;;1;;1;;;;;1;;1;;;;1;1;1;;;;;1;;1;;1;;
trogdor-arc-r (pompom);;;;1;;;;;;;1;;;;1;;1;;;;;1;;1;;;;;;
trogdor-kernelnext (lazor);;;;;;1;;;;;1;;;;1;;;;;;;;;;;;;1;;
trogdor-kernelnext (limozeen);;;;1;;;;;;;1;;;;1;;;;1;;;;;;;1;;;;
trogdor-kernelnext (pompom);;;;1;;;;;;;1;;;;;;;;1;;;;;1;;1;;;;
trogdor64 (lazor);;;;1;;1;;;;;1;;;;1;;;;;;;;;1;;;;;;
volteer (chronicler);;;;;;;;;;;;1;;;;1;;;;;;;1;;;;1;;;
volteer (collis);;;1;;1;;1;;;;;1;;1;;;;;;1;;;;;;;1;;1;
volteer (copano);;;1;;;;;;;;;1;;1;;;;;;1;1;;;;;;;;1;
volteer (delbin);;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;1;
volteer (drobit);;;1;;;;;;;;;;;1;;1;;;;1;1;;;;1;;1;;;
volteer (eldrid);;;;;;;;;;;;1;;1;;;;1;;1;1;;;;1;;;;;
volteer (elemi);;;;;1;;;;;;;;;1;;1;;;;;1;;;;;;1;;;
volteer (lillipup);;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;
volteer (lindar);;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
volteer (voema);;;1;;;;;;;;;1;;;;;;;;;1;;;;;;1;;;
volteer (volet);;;1;;;;;;;;;1;;;;;;;;;1;;;;;;;;;
volteer (volta);;;1;;;;;;;;;;;;;1;;1;;;1;;1;;;;1;;;
volteer (volteer2);;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;
volteer (voxel);;;1;;;;;;;;;;;1;;1;;;;;;;1;;;;;;1;
volteer-kernelnext (volteer2);;;;1;;1;;;;;1;;;;1;;;;;;;1;;1;;1;;1;;
zork (berknip);;;1;1;1;1;1;;;;;1;1;;1;;1;;;1;;;;;;1;;;;
zork (dirinboz);;;;1;1;1;;;;;;;1;1;1;;;;1;;;1;;;;1;;;;
zork (ezkinil);;;;1;1;1;;;;;1;1;1;;1;1;;;;;;1;1;;;1;;;;
zork (gumboz);;;;;;;;;;;1;;1;1;1;1;1;1;1;;;1;;1;;1;;1;;
zork (jelboz);;;;1;;1;;;;;1;;1;;1;;1;;1;;;;;1;;1;;1;;
zork (jelboz360);;;;;1;1;;;;;1;;;;1;;;;;;;1;;;;;;;;
zork (morphius);;;1;1;;;;;;;1;;;;1;;1;;;;1;;;;;1;;1;;
zork (vilboz);;;;1;1;;;;;;1;;;1;1;;1;;1;;;1;;;;1;;;;
zork (vilboz14);;;1;1;1;;;;;;1;;;;;;1;;;;1;1;1;;1;;;1;1;
zork (vilboz360);;;;1;;;;;;;1;;1;1;;1;1;;1;;;;;;;;;;;
zork (woomax);;;1;1;;1;;;;;1;;;;1;;;;;;;;;1;;;;1;1;
zork-arc-r (berknip);;;;1;;1;;;;;1;;;;;;1;;1;;;;;;;1;;;;
zork-arc-r (vilboz);;;;;;1;;;;;1;;1;;;;1;;1;;;;;;;1;;1;;
zork-kernelnext (ezkinil);;;;1;;;;;;;1;;;;1;;;;;;;1;;1;;;;;;
