; 15032 ; 15029 ; 15028 ; 15027 ; 15026 ; 15025 ; 15024 ; 15023 ; 15022 ; 15021 ; 15020 ; 15019 ; 15018 ; 15017 ; 15016 ; 15015 ; 15014 ; 15013 ; 15012 ; 15011 ; 15010 ; 15009 ; 15007 ; 15006 ; 15005 ; 15004 ; 15003 ; 15002 
nami (sona);;x;;;;x;;;;;;;x;;;;;;;;;;;;;;;
nami (syndra);;;;x;;;;;;;;;x;;;;;;;;;x;;;;x;;
nami (vayne);;x;;x;;;;;;;;;;;;;;;;x;;;;x;;;;
nami-kernelnext (akali);;;x;;x;;;;;x;;x;;x;;x;;;;;x;;;;x;;x;
nami-kernelnext (akali360);;;;;;;;;;x;;;;;;x;;x;;;;;;;;;;
nami-kernelnext (bard);;;x;;x;;;;;;;x;;;;;;;;;;;;;;;;
nami-kernelnext (ekko);;;x;;x;;;;;x;;;;;;;;x;;;;;;;;;;
nami-kernelnext (pantheon);;;x;;x;;;;;x;;;;;;;;x;;;x;;;;;;x;
nami-kernelnext (sona);;;;;x;;;;;x;;x;;x;;;;;;;x;;;;x;;;
nami-kernelnext (syndra);;;x;;x;;;;;x;;x;;;;x;;;;;;;;;;;x;
nami-kernelnext (vayne);;;;;x;;;;;x;;x;;;;;;;;;x;;;;x;;;
nautilus;;;;x;;;;;;;;;x;;;;;;;;;;;;;;;
nautilus (nautiluslte);;x;;;;;;;;;;;x;;;;;;;x;;x;;;;;;
nocturne;;;;;;x;;;;;;;;;x;;;;;;;;;;;;;
nocturne-kernelnext (nocturne);;;;;x;;;;;;;;;;;;;x;;;;;;;x;;x;
octopus (ampton);;x;x;;x;;;;;x;;x;;;;x;;;;;;;x;;x;;;
octopus (apel);;;x;;;;;;;x;;x;;;;;;x;;;;;x;;x;;;
octopus (bloog);;;;;x;;;;;x;;;;;;x;;;;;;;;;x;;;
octopus (blooglet);;;x;;x;;;;;x;x;;;x;;;;;;;;;x;;x;;;
octopus (blooguard);;;;;;;;;;x;;x;;x;;;x;x;;;;;x;;x;;x;
octopus (blorb);;;x;;;;;;;x;;x;;x;;;;x;;;;;x;;x;;x;
octopus (bluebird);;;x;x;;;;;;;x;x;;x;;;;x;;;x;;x;;x;x;;
octopus (bobba);;;;;x;;;;;x;;;;;;;;x;;;;;x;;x;;x;
octopus (bobba360);;;x;;x;;;;;x;x;x;;;;;x;x;;;;;x;;;;;
octopus (casta);;;;;x;;;;;x;;;;x;;x;;;;;;;x;;;;;
octopus (dood);;;x;x;x;;;;;x;;x;;;;x;x;;x;;x;;x;;;;x;
octopus (dorp);;x;;;x;;;;;x;x;x;;;;x;;x;;;;;x;;;;;
octopus (droid);;x;x;;x;;;;;x;;x;;x;;x;;x;;;x;x;x;;x;;;
octopus (fleex);;x;x;;x;;;;;x;x;x;;x;;x;;;;;x;;;;x;;x;
octopus (foob);;x;;x;x;;;;;x;;x;;;;;;x;;;x;;x;;x;;x;
octopus (foob360);;;x;;x;;;;;x;;x;;x;;;;;;;;;;;;;;
octopus (garfour);;;x;;;;;;;x;;x;;;;;;;;;;;x;;;;;
octopus (garg);;;x;x;x;;;;;x;;x;;x;;x;;;;;;;;;;;x;
octopus (garg360);;x;x;x;x;;;;;x;;x;;x;;;;x;;;;x;;;;;x;
octopus (grabbiter);;;x;;x;;;;;x;;;;;;x;;x;;;;;;;x;;;
octopus (laser14);;;;;x;;;;;x;;x;;;;;;x;;;x;;x;;;;x;
octopus (lick);;;x;;;;;;;x;;;;x;;;;x;;;x;;;;x;;x;
octopus (mimrock);;;;;x;;;;;x;;;;x;;;;;;;;;;;;;x;
octopus (nospike);;x;x;;x;;;;;x;x;x;;;;;;x;;;;;;;;;x;
